station_id,cluster,center_distance
2047,2,0.024918663437343846
2048,1,0.06638302261248342
2049,2,0.11111624123788244
2050,2,0.07532623848030429
2051,2,0.053768554608920965
2052,1,0.07014525463852694
2053,2,0.07391465382459202
2054,2,0.026432696032863075
2055,2,0.03111871146634458
2056,2,0.07846989145100933
2057,2,0.04727274823685534
